State,Region
ALABAMA,East South Central
ALASKA,Pacific
ARIZONA,Mountain
ARKANSAS,West South Central
CALIFORNIA,Pacific
COLORADO,Mountain
CONNECTICUT,New England
DELEWARE,South Atlantic
FLORIDA,South Atlantic
GEORGIA,South Atlantic
HAWAII,Pacific
IDAHO,Mountain
ILLINOIS,East North Central
INDIANA,East North Central
IOWA,West North Central
KANSAS,West North Central
KENTUCKY,East South Central
LOUISIANA,West South Central
MAINE,New England
MASSACHUSETTS,New England
MICHIGAN,East North Central
MINNESOTA,West North Central
MISSISSIPPI,East South Central
MISSOURI,West North Central
MONTANA,Midwest
NEBRASKA,West North Central
NEVADA,Mountain
NEW HAMPSHIRE,New England
NEW JERSEY,New England
NEW MEXICO,Mountain
NEW YORK,New England
NORTH CAROLINA,South Atlantic
NORTH DAKOTA,West North Central
OHIO,East North Central
OKLAHOMA,West South Central
OREGON,Pacific
PENNSYLVANIA,New England
RHODE ISLAND,New England
SOUTH CAROLINA,South Atlantic
SOUTH DAKOTA,West North Central
TENNESSEE,East South Central
TEXAS,West South Central
UTAH,Mountain
VERMONT,New England
VIRGINIA,South Atlantic
WASHINGTON,Pacific
WEST VIRGINIA,South Atlantic
WISCONSIN,East North Central
WYOMING,Mountain
